name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,merger_type,energy_released,E_GW,frequency,lookback_time,luminosity_distance_m,luminosity,luminosity_distance_lower_m,luminosity_distance_upper_m,luminosity_lower,luminosity_upper
GW230529_181500,GW230529_181500-v1,1369419318.7,1,O4_Discovery_Papers,https://doi.org/10.7935/6k89-7q62,http://gwosc.org/api/v2/event-versions/GW230529_181500-v1,3.6,-1.2,0.8,1.4,-0.2,0.6,11.6,,,201.0,-96.0,102.0,-0.1,-0.17,0.12,5.1,-0.6,0.6,1.94,-0.04,0.04,1.9127769118804565,-0.002,0.002,0.04,-0.02,0.02,0.001,,,,,,,,,Unknown,,,43.708610696262625,0.5615038397655744,6.20286e+24,4.834970429713193e+24,-2.96256e+24,3.14772e+24,1.1029204098967052e+24,1.2450937439849523e+24
GW200322_091133,GW200322_091133-v1,1268903511.3,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200322_091133-v1,38.0,-22.0,130.0,11.3,-6.0,24.3,4.5,-3.0,2.7,3500.0,-2200.0,12500.0,0.27,-0.58,0.54,50.0,-22.0,132.0,15.0,-4.0,29.5,17.42399910904948,,,0.59,-0.32,1.43,140.0,,,0.61501,,,48.0,-22.0,132.0,BH-BH,1.1683817323578603e+17,1.1699999999999974e+17,95.56428757689245,5.817844899229806,1.0801e+26,1.466012914630495e+27,-6.7892000000000005e+25,3.8575e+26,5.7922469443359964e+26,1.8699144319266515e+28
GW200316_215756,GW200316_215756-v1,1268431094.1,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200316_215756-v1,13.1,-2.9,10.2,7.8,-2.9,2.0,10.3,-0.7,0.4,1120.0,-440.0,480.0,0.13,-0.1,0.27,21.2,-2.0,7.2,8.75,-0.55,0.62,8.74158695118774,,,0.22,-0.08,0.08,1e-05,,,0.99,,,20.2,-1.9,7.4,BH-BH,6.291286251157717e+16,6.299999999999994e+16,75.87945476302646,2.726581187661436,3.45632e+25,1.5011972245816266e+26,-1.35784e+25,1.48128e+25,2.3168987777343984e+25,2.757301024741763e+25
GW200311_115853,GW200311_115853-v1,1267963151.3,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200311_115853-v1,34.2,-3.8,6.4,27.7,-5.9,4.1,17.8,-0.2,0.2,1170.0,-400.0,280.0,-0.02,-0.2,0.16,61.9,-4.2,5.3,26.6,-2.0,2.4,26.764885836107393,,,0.23,-0.07,0.05,1e-05,,,0.99,,,59.0,-3.9,4.8,BH-BH,2.606390018336776e+17,2.610000000000005e+17,63.8792635777333,2.831643939004067,3.61062e+25,1.638224554153212e+26,-1.2344000000000001e+25,8.6408e+24,1.9147923782928915e+25,9.382482653635166e+24
GW200311_103121,200311_103121-v1,1267957899.7,1,GWTC-3-marginal,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200311_103121-v1,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,1.3,,,0.194,,,,,,Unknown,,,24.041677639819287,0.0,,,,,,
GW200308_173609,GW200308_173609-v1,1267724187.7,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200308_173609-v1,60.0,-29.0,166.0,24.0,-13.0,36.0,4.7,-2.9,2.5,7100.0,-4400.0,13900.0,0.16,-0.49,0.58,92.0,-48.0,169.0,34.0,-18.0,44.0,32.37141161640435,,,1.04,-0.57,1.47,2.4,,,0.8566,,,88.0,-47.0,169.0,BH-BH,-3.5950207149472704e+17,-3.6e+17,24.03950683025824,8.094194585350643,2.19106e+26,6.03279273685904e+27,-1.3578400000000001e+26,4.28954e+26,2.3168987777343985e+27,2.3122314713123095e+28
GW200306_093714,GW200306_093714-v1,1267522652.1,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200306_093714-v1,28.3,-7.7,17.1,14.8,-6.4,6.5,7.8,-0.6,0.4,2100.0,-1100.0,1700.0,0.32,-0.46,0.28,43.9,-7.5,11.8,17.5,-3.0,3.5,17.633293510848528,,,0.38,-0.18,0.24,24.0,,,0.81156,,,41.7,-6.9,12.3,BH-BH,1.2582572502315434e+17,1.2599999999999987e+17,15.227525095137953,4.248326686981663,6.4806e+25,5.2776464926697816e+26,-3.3946000000000002e+25,5.2462e+25,1.4480617360839991e+26,3.458593733291534e+26
GW200302_015811,GW200302_015811-v1,1267149509.5,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200302_015811-v1,37.8,-8.5,8.7,20.0,-5.7,8.1,10.8,-0.4,0.3,1480.0,-700.0,1020.0,0.01,-0.26,0.25,57.8,-6.9,9.6,23.4,-3.0,4.7,23.698862958890388,,,0.28,-0.12,0.16,0.11,,,0.90643,,,55.5,-6.6,8.9,BH-BH,2.067136911094678e+17,2.0699999999999974e+17,87.95585311974416,3.3359733403076834,4.5672800000000005e+25,2.6213507658829682e+26,-2.1602e+25,3.14772e+25,5.8640516585219795e+25,1.2450937439849524e+26
GW200225_060421,GW200225_060421-v1,1266645879.3,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200225_060421-v1,19.3,-3.0,5.0,14.0,-3.5,2.8,12.5,-0.4,0.3,1150.0,-530.0,510.0,-0.12,-0.28,0.17,33.5,-3.0,3.6,14.2,-1.4,1.5,14.273233155223707,,,0.22,-0.1,0.09,1.1e-05,,,0.99,,,32.1,-2.8,3.5,BH-BH,1.0785062144841773e+17,1.0799999999999962e+17,64.1003510568888,2.726581187661436,3.5489000000000003e+25,1.5826955751827178e+26,-1.63558e+25,1.57386e+25,3.361657369140457e+25,3.112734359962381e+25
GW200224_222234,GW200224_222234-v1,1266618172.4,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200224_222234-v1,40.0,-4.5,6.7,32.7,-7.2,4.8,20.0,-0.2,0.2,1710.0,-650.0,500.0,0.1,-0.16,0.15,72.3,-5.3,7.2,31.1,-2.7,3.3,31.452687805301526,,,0.32,-0.11,0.08,1e-05,,,0.99,,,68.7,-4.8,6.7,BH-BH,3.5950207149472704e+17,3.6e+17,73.7265320016441,3.715583215320484,5.277060000000001e+25,3.4994027458539025e+26,-2.0059e+25,1.543e+25,5.056248623929665e+25,2.9918630910826424e+25
